Year,Temperature_Change
1961,0.212
1962,0.035
1963,0.165
1964,-0.255
1965,-0.228
1966,0.201
1967,-0.113
1968,-0.121
1969,-0.09
1970,0.15
1971,-0.094
1972,-0.199
1973,0.268
1974,-0.181
1975,0.087
1976,-0.312
1977,0.273
1978,0.004
1979,0.225
1980,0.333
1981,0.442
1982,0.085
1983,0.458
1984,0.123
1985,-0.035
1986,0.237
1987,0.396
1988,0.554
1989,0.331
1990,0.642
1991,0.469
1992,0.188
1993,0.356
1994,0.506
1995,0.836
1996,0.359
1997,0.657
1998,0.992
1999,0.787
2000,0.732
2001,0.835
2002,1.015
2003,0.895
2004,0.916
2005,1.109
2006,1.004
2007,1.199
2008,0.937
2009,0.961
2010,1.22
2011,0.925
2012,1.081
2013,1.023
2014,1.059
2015,1.424
2016,1.668
2017,1.438
2018,1.301
2019,1.463
2020,1.719
